,# YTID, start_seconds, end_seconds, positive_labels,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,#NAME?,30.0,40.0," ""/m/09x0r","/t/dd00088""",,,,,,,,,,
1,#NAME?,50.0,60.0," ""/m/012xff""",,,,,,,,,,,
2,#NAME?,0.0,10.0," ""/m/03fwl",/m/04rlf,"/m/09x0r""",,,,,,,,,
3,#NAME?,30.0,40.0," ""/t/dd00003","/t/dd00005""",,,,,,,,,,
4,#NAME?,200.0,210.0," ""/m/032s66","/m/073cg4""",,,,,,,,,,
5,#NAME?,30.0,40.0," ""/m/01y3hg""",,,,,,,,,,,
6,#NAME?,30.0,40.0," ""/m/015lz1","/m/07pws3f""",,,,,,,,,,
7,-0DLPzsiXXE,30.0,40.0," ""/m/04rlf","/m/07qwdck""",,,,,,,,,,
8,-0DdlOuIFUI,50.0,60.0," ""/m/0130jx",/m/02jz0l,"/m/0838f""",,,,,,,,,
9,-0FHUc78Gqo,30.0,40.0," ""/m/02w4v","/m/04rlf""",,,,,,,,,,
10,-0O3e95y4gE,100.0,110.0," ""/m/07r4wb8","/t/dd00125""",,,,,,,,,,
11,-0SdAVK79lg,30.0,40.0," ""/m/0155w",/m/01lyv,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y,"/m/0gg8l""",,,
12,-0Vl4HyWRk8,410.0,420.0," ""/m/085jw","/m/0l14l2""",,,,,,,,,,
13,-0mG4W5Hlq8,270.0,280.0," ""/m/04rlf",/m/05fw6t,/m/07r4k75,/m/09x0r,"/m/0ytgt""",,,,,,,
14,-0mjrMposBM,80.0,90.0," ""/m/04zmvq""",,,,,,,,,,,
15,-11LhdJgBb8,30.0,40.0," ""/m/04rlf","/m/07qn4z3""",,,,,,,,,,
16,-1LrH01Ei1w,30.0,40.0," ""/m/02p0sh1","/m/04rlf""",,,,,,,,,,
17,-1TLtjPtnms,10.0,20.0," ""/m/03lty",/m/04rlf,"/m/07szfh9""",,,,,,,,,
18,-1iKLvsRBbE,80.0,90.0," ""/m/015lz1","/m/07pws3f""",,,,,,,,,,
19,-24dqQM_rDk,30.0,40.0," ""/m/04rlf","/t/dd00003""",,,,,,,,,,
20,-275_wTLm-4,7.0,17.0," ""/m/07q6cd_""",,,,,,,,,,,
